fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 014527	-0.994271752258355	3468	834	14	5	18856000	1
20220911 014552	-0.990681544475665	1780	728	13	5	18508000	2
20220911 014613	-0.992296480944497	7308	1993	14	5	15362000	3
20220911 014636	-0.994918110785511	4123	1305	14	5	17756000	4
20220911 014655	-0.997076737751486	7659	3312	13	5	15840000	5
20220911 014718	-0.992822315432277	2180	1017	13	5	17842000	6
20220911 014742	-0.995138554110308	6751	128	13	5	15282000	7
20220911 014806	-0.998142255667917	6254	311	14	5	17230000	8
20220911 014826	-0.99561207408784	7659	3279	14	5	15840000	9
20220911 014849	-0.991437402030861	2639	686	13	5	17776000	10
20220911 014911	-0.993834890735452	4002	1871	13	5	17558000	11
20220911 014936	-0.996790008014068	1599	481	14	5	19778000	12
20220911 014957	-0.998481145903643	5027	1313	14	5	17320000	13
20220911 015019	-0.99044111602474	5719	1326	13	5	17320000	14
20220911 015040	-0.997435638056292	3557	1728	14	5	17576000	15
20220911 015100	-0.993046494335867	7041	3403	14	5	15696000	16
20220911 015131	-0.992363651785168	4	1	14	5	14216000	17
20220911 015200	-0.995939941116698	2144	11	14	5	17504000	18
20220911 015228	-0.999241882782007	1516	756	14	5	18066000	19
20220911 015256	-0.99525543977098	1582	635	14	5	18010000	20
20220911 015326	-0.997203108844521	1545	30	14	5	17522000	21
20220911 015353	-0.996817099981312	2809	571	14	5	18218000	22
20220911 015421	-0.996780943132927	1104	347	14	5	19542000	23
20220911 015449	-0.996778377933304	1654	618	14	5	18444000	24
20220911 015517	-0.996597250913369	879	436	14	5	19966000	25
20220911 015549	-0.997132544102876	920	441	14	5	18984000	26
20220911 015617	-0.996795352860988	1182	258	14	5	19464000	27
20220911 015644	-0.996596291931431	2097	510	14	5	19660000	28
20220911 015711	-0.996601814555014	1412	245	14	5	19698000	29
20220911 015738	-0.996331756246574	1070	470	14	5	19480000	30
20220911 015805	-0.99661072321084	1180	483	14	5	19918000	31
20220911 015832	-0.996601362039194	1413	654	14	5	18200000	32
20220911 015858	-0.994584312677149	4720	472	14	5	17130000	33
20220911 015923	-0.993915056453246	2238	1113	14	5	17564000	34
20220911 015950	-0.990001079426495	1570	208	13	5	19974000	35
20220911 020017	-0.990190447472654	440	215	13	5	19366000	36
20220911 020044	-0.990241027970032	2317	97	13	5	18572000	37
20220911 020111	-0.990000809906608	1362	390	13	5	19272000	38
20220911 020137	-0.990001414835224	1147	120	13	5	19728000	39
20220911 020202	-0.996616677464306	1633	432	14	5	19636000	40
20220911 020228	-0.990000615621241	2713	133	13	5	18830000	41
20220911 020253	-0.991006657936149	1121	228	13	5	19758000	42
20220911 020320	-0.991858973943335	444	210	13	5	19344000	43
20220911 020348	-0.991295643991575	9	2	13	5	15352000	44
20220911 020427	-0.99214897747954	1258	317	13	5	20064000	45
20220911 020454	-0.991856415187321	1071	368	13	5	19202000	46
20220911 020521	-0.992526759596284	1063	221	13	5	19034000	47
20220911 020552	-0.992098037029923	1851	204	13	5	19816000	48
20220911 020619	-0.990764809736334	1469	268	13	5	20096000	49
20220911 020646	-0.99215396767421	825	243	13	5	20092000	50
20220911 020712	-0.992176378439814	4456	291	13	5	17040000	51
20220911 020739	-0.990910061413107	1736	285	13	5	20166000	52
20220911 020805	-0.999962431400028	4147	479	14	5	18326000	53
20220911 020833	-0.999991470402318	499	247	14	5	19436000	54
20220911 020901	-0.999700572494394	1970	5	14	5	17610000	55
20220911 020929	-0.99999926007142	1176	573	14	5	19356000	56
20220911 020953	-0.999998806247	2488	1240	14	5	17466000	57
20220911 021021	-0.996525369213079	280	139	14	5	17908000	58
20220911 021044	-0.992171734870837	3368	1683	13	5	17576000	59
20220911 021108	-0.998715293597235	4634	2316	14	5	16984000	60
20220911 021131	-0.994143806190521	7820	954	14	5	15362000	61
20220911 021154	-0.999999728093645	7994	807	14	5	15362000	62
20220911 021221	-0.999485509642998	806	398	14	5	19012000	63
20220911 021243	-0.992806138540665	7945	2049	13	5	15362000	64
20220911 021307	-0.994794688008162	2679	1337	13	5	17464000	65
20220911 021332	-0.996161526428944	3800	1899	13	5	17746000	66
20220911 021357	-0.997486490021248	2810	1399	13	5	17722000	67
20220911 021421	-0.998515189107858	4075	2004	13	5	17788000	68
20220911 021442	-0.99764859574302	7256	1690	13	5	15362000	69
20220911 021506	-0.999429682998382	2728	1361	13	5	17464000	70
20220911 021533	-0.996659173504742	2350	224	14	5	19216000	71
20220911 021605	-0.998340501412483	2074	485	14	5	19276000	72
20220911 021631	-0.998304962274847	1346	670	13	5	18052000	73
20220911 021658	-0.996492889818404	1625	811	13	5	18548000	74
20220911 021726	-0.997082302393304	505	251	13	5	19626000	75
20220911 021751	-0.997195775495441	2510	303	13	5	18748000	76
20220911 021818	-0.996249619340031	460	230	13	5	19374000	77
20220911 021846	-0.996759944489354	942	1	13	5	19954000	78
20220911 021913	-0.997592722272712	241	1	13	5	19128000	79
20220911 021939	-0.996703713441285	1371	157	13	5	19712000	80
20220911 022007	-0.996711820857378	6	3	13	5	15630000	81
20220911 022034	-0.997661647164738	1224	1	13	5	19218000	82
20220911 022101	-0.996855114323857	2056	24	13	5	17680000	83
20220911 022127	-0.99675900166076	2027	212	13	5	19586000	84
20220911 022155	-0.99659314141739	1619	210	14	5	19920000	85
20220911 022223	-0.996611030547145	492	196	14	5	19586000	86
20220911 022249	-0.996698359171841	1290	417	13	5	18810000	87
