fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 002456	-0.994271752258355	651	157	8	5	21318000	1
20220911 002544	-0.992923204166145	539	262	8	5	21444000	2
20220911 002601	-0.998795800062217	872	354	7	5	20382000	3
20220911 002618	-0.997372934071318	1492	581	7	5	19418000	4
20220911 002636	-0.996201820700662	611	64	8	5	20966000	5
20220911 002653	-0.994496499917877	1055	520	7	5	19964000	6
20220911 002711	-0.992076654955745	823	226	8	5	21576000	7
20220911 002729	-0.999702624860511	1191	124	8	5	20716000	8
20220911 002746	-0.998137336566288	957	398	7	5	19948000	9
20220911 002809	-0.990856984712154	1365	46	7	5	18988000	10
20220911 002827	-0.999284890017339	1184	111	8	5	21122000	11
20220911 002844	-0.997453320794739	929	98	7	5	19798000	12
20220911 002902	-0.996698415088933	179	73	8	5	20678000	13
20220911 002930	-0.991033342245035	882	430	7	5	20008000	14
20220911 002947	-0.994787861175369	1470	198	7	5	20010000	15
20220911 003004	-0.992679781732149	1384	472	7	5	19864000	16
20220911 003022	-0.998060992584797	744	265	8	5	21646000	17
20220911 003042	-0.997840968332801	933	243	8	5	21252000	18
20220911 003102	-0.999658852146734	766	283	8	5	21664000	19
20220911 003121	-0.997518850960353	1492	275	8	5	20272000	20
20220911 003143	-0.998971720152962	602	301	8	5	21048000	21
20220911 003202	-0.998897483569503	776	199	8	5	21672000	22
20220911 003222	-0.993099654965948	758	287	8	5	21594000	23
20220911 003243	-0.999202333389853	813	406	8	5	19922000	24
20220911 003303	-0.994188798038204	744	222	8	5	21516000	25
20220911 003323	-0.997967905346714	1069	53	8	5	20494000	26
20220911 003343	-0.99000077559908	728	198	8	5	21712000	27
20220911 003403	-0.99990090886794	540	270	8	5	21326000	28
20220911 003423	-0.991044308154027	690	242	8	5	21546000	29
20220911 003443	-0.992410741993693	817	196	8	5	21676000	30
20220911 003503	-0.999519421826422	739	243	8	5	21508000	31
20220911 003523	-0.990017646270222	792	270	8	5	21654000	32
20220911 003544	-0.991519005802235	771	106	8	5	21022000	33
20220911 003608	-0.990115346459621	787	204	8	5	21662000	34
20220911 003628	-0.998475430851936	593	187	8	5	21662000	35
20220911 003649	-0.991671036136986	605	195	8	5	21704000	36
20220911 003709	-0.991758035982046	692	190	8	5	21768000	37
20220911 003729	-0.990372625276863	642	180	8	5	21692000	38
20220911 003749	-0.990632502787534	379	187	8	5	21714000	39
20220911 003808	-0.991269122783711	760	276	7	5	20794000	40
20220911 003828	-0.99999669474058	700	98	8	5	20934000	41
20220911 003848	-0.990441256090919	490	187	8	5	21650000	42
20220911 003910	-0.994095942887074	350	175	8	5	20834000	43
20220911 003930	-0.991327692108849	409	204	8	5	21194000	44
20220911 003950	-0.992689496030382	662	196	8	5	21704000	45
20220911 004011	-0.990003064041413	338	168	8	5	20802000	46
20220911 004031	-0.998154242507823	546	140	8	5	21178000	47
20220911 004051	-0.998033533414364	762	122	8	5	21164000	48
20220911 004111	-0.99069972092076	1307	185	8	5	20376000	49
