fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 203630	-0.994021842591043	175	48	8	5	19656000	104
20220911 204401	-0.995914906659378	1811	198	8	5	20414000	2
20220911 204425	-0.998035617888356	462	137	8	5	21056000	3
20220911 204444	-0.997969228018321	700	199	7	5	20912000	4
20220911 204506	-0.997972482986601	878	197	9	5	20830000	5
20220911 204526	-0.994633604080393	899	186	8	5	21720000	6
20220911 204546	-0.997972978126631	1823	185	8	5	20268000	7
20220911 204606	-0.996200087294944	2347	333	8	5	19034000	8
20220911 204630	-0.995655869628957	1498	64	8	5	20316000	9
20220911 204650	-0.991999922565398	2232	95	8	5	18904000	10
20220911 204711	-0.997936549841432	468	150	8	5	21330000	11
20220911 204732	-0.995873803405387	223	64	9	5	19552000	12
20220911 204753	-0.991479098207003	34	11	8	5	20880000	13
20220911 204814	-0.997984117457675	710	234	8	5	21548000	14
20220911 204833	-0.99577549015526	541	175	7	5	20768000	15
20220911 204852	-0.995897165549975	1606	51	6	5	19016000	16
20220911 204913	-0.991454829270345	668	216	8	5	21498000	17
20220911 204934	-0.991285130112379	493	153	8	5	21314000	18
20220911 204955	-0.99392775697974	600	189	8	5	21662000	19
20220911 205017	-0.994682203560925	1850	1	10	5	18166000	20
20220911 205033	-0.990022513653335	4281	1407	3	5	15224000	21
20220911 205113	-0.990166554316436	116	3	30	5	12514000	22
20220911 205138	-0.990155626212787	1765	579	13	5	19022000	23
20220911 205200	-0.990602522940853	8000	2639	30	5	15438000	24
20220911 205221	-0.992223478145797	678	199	8	5	21670000	25
20220911 205236	-0.999870427530128	7998	2634	3	5	15224000	26
20220911 205259	-0.990018661616049	1989	52	9	5	18728000	27
20220911 205323	-0.999944019333716	3761	1241	30	5	17686000	28
20220911 205358	-0.999974601008902	8000	1	30	5	14406000	29
20220911 205412	-0.99535459805512	5558	59	3	5	15224000	30
20220911 205439	-0.999769891153816	6411	2114	30	5	16108000	31
20220911 205501	-0.998835493758259	1652	149	9	5	19688000	32
20220911 205522	-0.998349265014275	771	160	8	5	21566000	33
20220911 205552	-0.999995016956588	1206	395	30	5	1.9e+07	34
20220911 205608	-0.999998426775797	7998	950	3	5	15224000	35
20220911 205624	-0.99999631297687	5670	1868	3	5	15224000	36
20220911 205646	-0.990006886189721	5304	1750	30	5	17320000	37
20220911 205708	-0.999918348811455	8000	2637	20	5	15438000	38
20220911 205737	-0.999992347338318	899	294	18	5	20320000	39
20220911 205752	-0.990002058364674	7993	2475	3	5	15224000	40
20220911 205815	-0.992721814416426	785	254	8	5	21462000	41
20220911 205837	-0.996880324994876	620	183	8	5	21810000	42
20220911 205906	-0.997076626654984	700	189	16	5	20130000	43
20220911 205933	-0.998717352960673	693	216	14	5	19952000	44
20220911 205955	-0.992703454800659	553	141	8	5	21156000	45
20220911 210015	-0.991078367513193	2589	197	7	5	18868000	46
20220911 210039	-0.996838603575911	690	177	10	5	20586000	47
20220911 210109	-0.999446172793173	783	258	24	5	19844000	48
20220911 210140	-0.996253817692835	738	180	23	5	20362000	49
20220911 210200	-0.996706763321128	488	133	7	5	20096000	50
20220911 210222	-0.997055491016038	711	196	8	5	21766000	51
20220911 210252	-0.99695296343909	738	241	29	5	19712000	52
20220911 210323	-0.995082375225133	942	309	27	5	20182000	53
20220911 210351	-0.996129062027717	1694	559	26	5	18984000	54
20220911 210419	-0.993657199786013	1434	473	24	5	19920000	55
20220911 210450	-0.993752354333632	2696	886	29	5	17868000	56
20220911 210512	-0.990824793552007	925	180	8	5	21850000	57
20220911 210538	-0.991279414840583	1947	638	20	5	18892000	58
20220911 210617	-0.995023684450418	1509	1	24	5	17898000	59
20220911 210641	-0.996294061579547	3709	1221	18	5	17806000	60
20220911 210703	-0.99843433129154	3699	2	8	5	16886000	61
20220911 210735	-0.998275539286533	646	211	21	5	19814000	62
20220911 210758	-0.990979051210317	782	252	8	5	21462000	63
20220911 210826	-0.990980106935726	906	192	14	5	20696000	64
20220911 210909	-0.995724713567241	14	4	30	5	6608000	65
20220911 210938	-0.997520467140869	1049	342	27	5	19432000	66
20220911 211004	-0.996970147025567	4030	537	30	5	18388000	67
20220911 211033	-0.99229729442663	3157	308	26	5	18340000	68
20220911 211058	-0.999435541169067	4670	1535	21	5	17138000	69
20220911 211128	-0.998952614791559	2950	239	30	5	18508000	70
20220911 211159	-0.990002255163037	921	205	19	5	20672000	71
20220911 211229	-0.990002186482851	1649	364	23	5	19512000	72
20220911 211251	-0.995988386665512	8000	2639	30	5	15438000	73
20220911 211307	-0.999998301786615	2991	983	3	5	15224000	74
20220911 211329	-0.990049394264861	6328	2086	19	5	16814000	75
20220911 211352	-0.998008322675288	7999	1400	22	5	15362000	76
20220911 211423	-0.994684144920469	970	319	22	5	19438000	77
20220911 211445	-0.992771181273534	2292	755	8	5	18278000	78
20220911 211520	-0.996709541792018	913	300	21	5	19822000	79
20220911 211549	-0.994622327590779	2338	387	27	5	19018000	80
20220911 211619	-0.996184441784425	3825	194	24	5	18058000	81
20220911 211643	-0.996784295234619	5443	904	12	5	17320000	82
20220911 211718	-0.990034435767905	7996	1	30	5	14406000	83
20220911 211751	-0.990793962742826	1513	1	19	5	18262000	84
20220911 211817	-0.993783641631082	4018	807	18	5	18388000	85
20220911 211841	-0.990017810886283	876	202	10	5	20626000	86
20220911 211856	-0.990178550602119	931	1	3	5	15224000	87
20220911 211920	-0.990007658764426	3868	1275	18	5	17686000	88
20220911 211944	-0.995413657814966	3978	1309	30	5	17686000	89
20220911 212012	-0.996471993636039	1751	5	14	5	17450000	90
20220911 212036	-0.99845291985358	3072	1013	13	5	17916000	91
20220911 212105	-0.99305541272183	1069	351	27	5	19644000	92
20220911 212126	-0.990075525298116	823	190	8	5	21680000	93
20220911 212202	-0.999994636911914	28	6	21	5	10336000	94
20220911 212230	-0.999060476548609	1434	471	23	5	19612000	95
20220911 212250	-0.996635960833154	4109	1354	8	5	17756000	96
20220911 212319	-0.999501206529058	1410	462	17	5	19606000	97
20220911 212341	-0.997730579485195	6246	2059	13	5	17320000	98
20220911 212404	-0.996046564089895	7997	2639	9	5	15438000	99
20220911 212432	-0.996109027756598	6500	271	30	5	15272000	100
20220911 212457	-0.993773738046025	1445	475	13	5	19976000	101
20220911 212525	-0.999995372097226	6405	1130	14	5	16108000	102
20220911 212550	-0.999994653325997	2704	890	25	5	17868000	103
20220911 212613	-0.993394557822218	5683	1875	30	5	17320000	104
20220911 212636	-0.991518622532794	3899	1286	30	5	17686000	105
20220911 212707	-0.991452045536996	1195	213	25	5	19722000	106
20220911 212727	-0.992764663658	4582	391	8	5	17040000	107
20220911 212750	-0.991683042234942	4890	1612	14	5	17320000	108
20220911 212818	-0.999998959552428	4299	319	28	5	16996000	109
20220911 212841	-0.997535640195225	5143	1696	30	5	17320000	110
20220911 212903	-0.993262744870933	7997	2639	20	5	15438000	111
20220911 212933	-0.9922068753872	881	283	18	5	20074000	112
20220911 212957	-0.990014594500133	5625	917	30	5	17320000	113
20220911 213018	-0.990001817821649	7991	1422	14	5	15362000	114
20220911 213042	-0.995785435948773	3610	771	12	5	18604000	115
20220911 213058	-0.995623192655779	5877	1935	3	5	15224000	116
20220911 213123	-0.990008053593483	2830	928	24	5	17736000	117
20220911 213152	-0.998497000571911	840	276	18	5	20376000	118
20220911 213215	-0.998574605777358	597	185	8	5	21820000	119
20220911 213241	-0.998456367698253	5462	563	20	5	17320000	120
20220911 213304	-0.999993687502616	7995	4	12	5	14810000	121
20220911 213328	-0.999996529620385	840	276	8	5	21652000	122
20220911 213352	-0.999987743158409	756	247	11	5	19802000	123
20220911 213408	-0.999999158755423	735	214	3	5	15224000	124
20220911 213430	-0.990012070699522	8000	1869	30	5	15362000	125
20220911 213445	-0.990002901299463	6355	787	3	5	15224000	126
20220911 213506	-0.999999538289877	1773	581	8	5	19012000	127
20220911 213530	-0.999998870870018	7997	2011	7	5	15362000	128
20220911 213558	-0.990043402670337	1146	375	17	5	19056000	129
20220911 213613	-0.990663070496015	7999	1	3	5	15224000	130
20220911 213639	-0.999993016370068	5235	1027	30	5	17320000	131
20220911 213654	-0.999753015064129	6961	405	3	5	15224000	132
20220911 213726	-0.991333420431703	680	221	21	5	19726000	133
20220911 213756	-0.990793516157833	1715	193	30	5	19976000	134
20220911 213821	-0.999990302389591	8000	682	20	5	15362000	135
20220911 213850	-0.99000112035971	3306	198	30	5	18792000	136
20220911 213916	-0.991335287089976	2307	212	13	5	19184000	137
20220911 213946	-0.996958853835617	786	258	24	5	19844000	138
20220911 214008	-0.999996573577325	7074	1387	30	5	15362000	139
20220911 214037	-0.998693300424351	858	280	29	5	20430000	140
20220911 214104	-0.990002317299009	6110	2	15	5	15364000	141
20220911 214136	-0.9905306398926	2197	210	27	5	19264000	142
20220911 214205	-0.996930641820622	1981	303	30	5	19550000	143
20220911 214235	-0.992130334938783	1855	254	30	5	19716000	144
20220911 214258	-0.990003018233013	5515	1264	10	5	17320000	145
20220911 214317	-0.99022615723483	7997	674	7	5	15362000	146
20220911 214340	-0.996574570475533	6441	2123	21	5	16108000	147
20220911 214408	-0.993329903534658	3713	231	30	5	18046000	148
20220911 214434	-0.995662984966479	5239	614	19	5	17320000	149
20220911 214457	-0.990002482368402	3957	67	11	5	16726000	150
20220911 214523	-0.998129650821929	2999	986	30	5	17942000	151
20220911 214550	-0.991644982444854	5942	1960	25	5	17320000	152
20220911 214619	-0.994372563598065	1464	481	29	5	19972000	153
20220911 214634	-0.999998771212092	4772	739	3	5	15224000	154
20220911 214658	-0.994793856339813	4428	1458	13	5	17138000	155
20220911 214717	-0.996962918896862	8000	1183	7	5	15362000	156
20220911 214740	-0.998690460279286	4754	1568	11	5	17138000	157
20220911 214807	-0.992234315551132	3138	1027	16	5	17962000	158
20220911 214836	-0.996068939659807	653	212	18	5	19756000	159
20220911 214909	-0.997670430174449	6955	1	22	5	14418000	160
20220911 214933	-0.998556599982834	4424	1050	25	5	17130000	161
20220911 214954	-0.997058194272638	2764	908	8	5	17878000	162
20220911 215018	-0.993403792707534	4629	1524	25	5	17138000	163
20220911 215042	-0.993881240614574	5423	969	30	5	17320000	164
20220911 215103	-0.999996433768375	7144	2357	7	5	15362000	165
20220911 215132	-0.992261673945172	1397	459	23	5	19606000	166
20220911 215148	-0.990005876085891	7999	1604	3	5	15224000	167
20220911 215210	-0.990475228983646	650	213	8	5	21186000	168
20220911 215234	-0.991633395479439	6134	952	18	5	17320000	169
20220911 215256	-0.99115630136635	904	189	9	5	20928000	170
20220911 215319	-0.990005604267876	6369	1346	30	5	16814000	171
20220911 215342	-0.999991266901341	5085	167	11	5	16990000	172
20220911 215417	-0.990025627013729	892	65	27	5	18978000	173
20220911 215443	-0.990004126887988	6959	541	24	5	15362000	174
20220911 215505	-0.990055567456625	926	51	8	5	20582000	175
20220911 215532	-0.990779082030245	837	274	11	5	20632000	176
20220911 215606	-0.999295245477143	1171	382	27	5	18906000	177
20220911 215630	-0.990733802613181	1076	352	8	5	19796000	178
20220911 215652	-0.999953652161287	5585	1843	18	5	17320000	179
20220911 215714	-0.999992752024088	8000	2019	30	5	15362000	180
