foto_mes,ipc,blue,oficial,cvs
201901,2.298747271,3.632911392,2.462986845,2.056510075
201902,2.215326447,3.904761905,2.492560689,2.003336299
201903,2.116293636,3.776315789,2.338148874,1.927249385
201904,2.045821272,3.337209302,2.177154583,1.885197007
201905,1.985095808,3.136612022,2.0781284,1.833392703
201906,1.932568492,3.164277839,2.07001951,1.79744562
201907,1.891006707,3.360655738,2.196182153,1.716436398
201908,1.819080522,3.211727842,2.096377607,1.675565064
201909,1.717966798,2.333333333,1.634822804,1.631924627
201910,1.663189936,2.421940928,1.588851913,1.580730081
201911,1.595316596,2.174242424,1.507340174,1.54414538
201912,1.537747818,2.166037736,1.517400286,1.504677581
202001,1.503867268,1.926174497,1.515714286,1.419654819
202002,1.474182693,1.888157895,1.514512292,1.36702713
202003,1.426488497,1.875816993,1.482994254,1.326607261
202004,1.405454845,1.760736196,1.433568533,1.324412749
202005,1.384101805,1.269911504,1.380711394,1.325338434
202006,1.353730335,1.166666667,1.350254525,1.317438842
202007,1.32804339,1.166666667,1.288142452,1.294248662
202008,1.29312752,1.074906367,1.250032727,1.268949
202009,1.25747164,1.095419847,1.216433121,1.237990516
202010,1.21189272,0.996527778,1.181806931,1.189278405
202011,1.174773348,0.864457831,1.138276314,1.151348587
202012,1.129529292,0.956666667,1.098217366,1.131461592
202101,1.085574078,0.880368098,1.062534772,1.095608807
202102,1.048108075,0.953488372,1.026884611,1.050195301
202103,1,1,1,1
