fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220914 030216	1598	9	25	2	5	19606000	1
20220914 032340	843	15	179	37	5	20998000	2
20220914 033439	1797	8	413	15	5	22094000	3
20220914 035722	956	21	372	31	5	20792000	4
20220914 042253	1161	25	287	29	5	21090000	5
20220914 045445	2160	16	277	22	5	22180000	6
20220914 050302	600	27	79	18	5	21660000	7
20220914 050756	118	24	134	49	5	19238000	8
20220914 062522	2479	19	341	43	5	20580000	9
20220914 063214	1098	13	205	9	5	22348000	10
20220914 063739	298	11	439	35	5	20936000	11
20220914 063937	2336	1	227	12	5	2998000	12
20220914 072812	1432	23	110	40	5	19912000	13
20220914 074854	1966	5	485	47	5	20544000	14
20220914 075032	408	3	35	25	5	19348000	15
20220914 080125	1723	29	387	7	5	22768000	16
20220914 080709	1956	14	378	2	5	21184000	17
20220914 083139	1324	8	500	50	5	21398000	18
20220914 083241	100	6	472	21	5	21284000	19
20220914 084113	2464	30	214	2	5	22422000	20
20220914 084250	133	5	6	47	5	20730000	21
20220914 093425	1264	30	203	46	5	19596000	22
20220914 093652	727	18	230	2	5	22006000	23
20220914 094447	2500	27	481	2	5	22494000	24
20220914 095314	2499	27	334	2	5	22298000	25
20220914 095405	128	30	500	5	5	22724000	26
20220914 101712	1758	11	500	24	5	21216000	27
20220914 101913	546	28	500	2	5	22106000	28
20220914 105053	2500	30	462	17	5	22300000	29
20220914 105131	100	30	256	2	5	21572000	30
20220914 105936	2499	17	1	2	5	21838000	31
20220914 110524	1664	30	500	2	5	22486000	32
20220914 111346	2500	29	500	2	5	22566000	33
20220914 113451	2323	29	1	10	5	21850000	34
20220914 114604	1350	17	500	10	5	22554000	35
20220914 114641	100	16	350	2	5	21772000	36
20220914 115432	2352	22	500	2	5	22532000	37
20220914 120248	764	8	273	25	5	21244000	38
20220914 120925	1981	20	500	2	5	22576000	39
20220914 121542	1857	24	500	2	5	22472000	40
20220914 121652	100	13	1	11	5	20832000	41
20220914 122808	1603	17	240	8	5	22550000	42
20220914 124608	1923	26	500	11	5	22490000	43
20220914 124804	100	29	500	19	5	21994000	44
20220914 125557	2499	18	470	2	5	22230000	45
20220914 125641	133	23	500	3	5	22454000	46
20220914 130042	1178	22	493	2	5	22496000	47
20220914 130917	2500	26	101	2	5	22444000	48
20220914 131743	2500	21	72	2	5	22102000	49
20220914 131856	102	12	274	14	5	21726000	50
20220914 132407	1054	25	1	4	5	22048000	51
20220914 132512	100	19	500	9	5	21948000	52
20220914 132832	917	9	500	5	5	21846000	53
20220914 133459	808	30	446	8	5	22810000	54
20220914 133554	100	25	480	6	5	2.2e+07	55
20220914 140030	2500	19	172	12	5	22332000	56
20220914 140721	628	13	500	15	5	22298000	57
20220914 142257	2134	24	156	8	5	22176000	58
20220914 143627	2175	29	424	7	5	22834000	59
20220914 150014	2500	20	496	12	5	22724000	60
20220914 151133	1181	16	158	12	5	22028000	61
20220914 152820	2500	25	457	8	5	22894000	62
20220914 154653	2500	23	500	9	5	22580000	63
20220914 160028	2500	20	398	6	5	23300000	64
20220914 160953	2500	20	338	3	5	22574000	65
20220914 162754	1782	18	405	13	5	22704000	66
20220914 163330	828	17	416	8	5	22676000	67
20220914 165151	2500	21	411	9	5	22660000	68
20220914 165242	102	20	1	5	5	19922000	69
20220914 172757	2500	25	1	17	5	20682000	70
20220914 173228	1180	30	69	2	5	22366000	71
20220914 173741	1494	28	137	2	5	22262000	72
20220914 174108	996	23	397	2	5	22380000	73
20220914 175058	1102	10	425	15	5	22068000	74
20220914 180523	2396	19	460	7	5	22842000	75
20220914 181730	1288	7	500	26	5	21448000	76
20220914 190305	2500	8	418	49	5	21372000	77
20220914 195644	2500	13	7	33	5	21198000	78
20220914 195716	100	6	1	4	5	19196000	79
20220914 211854	2500	14	500	50	5	20894000	80
20220914 214501	2500	13	160	15	5	21966000	81
20220914 214837	114	30	1	30	5	14522000	82
20220914 233900	2500	27	500	50	5	19960000	83
20220914 235729	1223	27	500	19	5	21860000	84
20220914 235905	140	6	1	33	5	21388000	85
20220915 005754	2499	15	485	34	5	21492000	86
20220915 012507	1842	8	500	39	5	21362000	87
20220915 021626	1791	12	1	50	5	20830000	88
20220915 022002	1013	25	78	2	5	21532000	89
20220915 022656	613	30	500	14	5	22296000	90
20220915 023508	1523	20	500	6	5	22784000	91
20220915 024833	2500	30	500	6	5	23236000	92
20220915 024928	100	8	500	12	5	21966000	93
20220915 025314	100	25	500	41	5	19686000	94
20220915 030642	2500	26	417	6	5	23018000	95
20220915 033630	2500	17	404	16	5	22488000	96
20220915 034717	1838	27	1	6	5	22176000	97
20220915 034910	100	24	393	20	5	21854000	98
20220915 040335	1973	12	490	11	5	22508000	99
20220915 040602	112	17	500	26	5	21152000	100
20220915 040631	100	1	441	50	5	15496000	101
20220915 040710	103	12	500	5	5	22222000	102
20220915 042647	2500	30	442	10	5	22800000	103
20220915 051711	2500	18	189	28	5	20872000	104
20220915 055754	1674	13	371	42	5	21254000	105
20220915 061043	2500	20	467	6	5	22824000	106
20220915 062531	2500	30	114	7	5	22338000	107
20220915 064638	2499	27	226	11	5	21808000	108
20220915 065437	2500	29	17	2	5	22126000	109
20220915 070935	1182	12	86	22	5	21956000	110
20220915 075152	2489	8	73	50	5	21422000	111
20220915 080251	2411	30	391	5	5	22840000	112
20220915 081330	2038	19	391	6	5	23116000	113
20220915 081721	177	9	205	50	5	21058000	114
20220915 082454	1112	30	189	8	5	22644000	115
20220915 083234	849	8	1	22	5	21666000	116
